ObjectID,Mapped,Crash Date,City/Town,Address,AOT Route,Crash Type,Collision Direction,Weather,Road Group,Report Number,Reporting Agency,Road Group ID,AOT Actual Milepoint,Animal,Time of Day,Intersection With,Impairment,Involving,Non Reportable Address,Reporting Agency ID,Road Characteristics,Road Condition,Street Address,Surface Condition,AOT Route ID,Coordinates
4214808,,"August 15, 2019, 2:43 PM",Milton,250 US Rt 7 S,US-7,Property Damage Only,Rear End,Clear,"State Highway numbered route, State owned",19MT006331,Milton PD.,10,3.72,None/Other,Day,Dunkin Donuts,None,None,,VT0040600,Not at a Junction,None,250 US Rt 7 S,Dry,70,"44.6226344856946,-73.12163217329497"
4214430,,"August 15, 2019, 4:32 PM",South Burlington,155 Dorset St,Unknown,Property Damage Only,Same Direction Sideswipe,Clear,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",19SB008643,So. Burlington PD.,9,999.99,None/Other,Day,Target,None,None,,VT0040300,Parking Lot,None,155 Dorset St,Dry,0,"44.46569794981139,-73.18240295910418"
4214857,,"August 16, 2019, 3:04 AM",Milton,26 Bombardier Rd,BOMBARDIER RD./HOBBS RD.,Injury,Single Vehicle Crash,Cloudy,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19MT006338,Milton PD.,2,0.12,None/Other,Night,Park Place,None,None,,VT0040600,T - Intersection,None,26 Bombardier Rd,Wet,U5816,"44.61985995082811,-73.12451883525908"
4213957,,"August 16, 2019, 1:17 PM",South Burlington,1309 Williston Rd,Unknown,Property Damage Only,Other - Explain in Narrative,Clear,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",19SB008669,So. Burlington PD.,9,999.99,None/Other,Day,Williston Rd,None,None,,VT0040300,Not at a Junction,None,1309 Williston Rd,Dry,0,"44.46634575190842,-73.17180383427996"
4212519,,"August 16, 2019, 1:18 PM",South Burlington,358 Dorset St,DORSET ST.,Property Damage Only,Rear-to-rear,Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19SB008670,So. Burlington PD.,2,3.4,None/Other,Day,Hickory Ln,None,None,,VT0040300,Not at a Junction,None,358 Dorset St,Dry,U5208,"44.4590270474451,-73.1797841742061"
4213443,,"August 16, 2019, 4:54 PM",Burlington,Main St,US-2,Property Damage Only,Rear End,Clear,"State Highway numbered route, Class 1 TH",19BU017787,Burlington PD,11,0,None/Other,Day,S Willard St,None,None,,VT0040100,Not at a Junction,None,Main St,Dry,20,"44.47619413910199,-73.20547967992043"
4215652,,"August 16, 2019, 6:13 PM",Hinesburg,1726 North Road,MinCollector,Injury,"Left Turn and Thru, Broadside v<--",Clear,Minor Collector - Non Fed Aid Rural TH,19HB00878,Hinesburg PD.,4,999.99,None/Other,Day,Bear Ridge Road,None,None,,VT0041200,Not at a Junction,None,1726 North Road,Dry,S0706,"44.338127680243424,-73.07646566548864"
4216164,,"August 16, 2019, 11:15 PM",South Burlington,1214 Williston Rd,US-2,Property Damage Only,"Left Turn and Thru, Angle Broadside -->v--",Clear,"State Highway numbered route, Class 1 TH",19SB008696,So. Burlington PD.,11,0.78,None/Other,Night,Williston Road,None,None,,VT0040300,T - Intersection,None,1214 Williston Rd,Dry,20,"44.46781830350153,-73.17567071448313"
4214601,,"August 17, 2019, 12:26 AM",Winooski City,1 Main St,US-7,Property Damage Only,Same Direction Sideswipe,Clear,"State Highway numbered route, Class 1 TH",19WS005761,Winooski PD.,11,0.11,None/Other,Night,Winooski Falls Way,None,Heavy Truck,,VT0040400,Traffic circle / roundabout,None,1 Main St,Dry,70,"44.49042800002643,-73.18577236518733"
4215405,,"August 17, 2019, 11:10 AM",Burlington,St Paul St,ST. PAUL ST.,Property Damage Only,"No Turns, Thru moves only, Broadside ^<",Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19BU017862,Burlington PD,2,0.19,None/Other,Day,Pine Pl,None,None,,VT0040100,Four-way Intersection,None,St Paul St,,U5046,"44.4695958363987,-73.21183298507982"
4212699,,"August 17, 2019, 11:53 AM",South Burlington,Dorset St,DORSET ST.,Property Damage Only,Single Vehicle Crash,Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19SB008710,So. Burlington PD.,2,2.97,None/Other,Day,189,None,None,,VT0040300,Not at a Junction,None,Dorset St,Dry,U5208,"44.45287232702714,-73.17868696590634"
4212812,,"August 17, 2019, 12:17 PM",Essex,85 Pinecrest Drive,PINECREST DR.,Property Damage Only,Rear End,Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19ES04438,Essex PD.,2,0.76,None/Other,Day,Driveway To 86 Pinecrest Drive,None,None,,VT0040200,Not at a Junction,None,85 Pinecrest Drive,,U5412,"44.50612697454009,-73.12160268410483"
4212468,,"August 17, 2019, 1:44 PM",Milton,Bear Trap Rd,US-2,Injury,"No Turns, Thru moves only, Broadside ^<",Cloudy,"State Highway numbered route, State owned",19MT006388,Milton PD.,10,3.21,None/Other,Day,US Rt 2,Alcohol,Motorcycle,,VT0040600,Four-way Intersection,None,Bear Trap Rd,Dry,20,"44.60959249167824,-73.20895620884376"
4212483,,"August 17, 2019, 4:17 PM",Milton,US Rt 7 S,US-7,Injury,Rear End,Rain,"State Highway numbered route, State owned",19MT006391,Milton PD.,10,1.84,None/Other,Day,Forbes Rd,None,None,,VT0040600,Not at a Junction,None,US Rt 7 S,Wet,70,"44.619487905420414,-73.14911693166732"
4245667,,"August 18, 2019, 11:20 AM",Williston,64 Harvest Lane,Unknown,Property Damage Only,"No Turns, Thru moves only, Broadside ^<",Clear,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",19WT03506,Williston PD.,9,999.99,None/Other,Day,GoodWill Parking Lot,None,None,,VT0041000,Parking Lot,None,64 Harvest Lane,Dry,0,"44.45136638796202,-73.11837356401828"
4247000,,"August 18, 2019, 11:33 AM",Colchester,I-89 South,I-89,Property Damage Only,Single Vehicle Crash,Cloudy,"State Highway numbered route, State owned",19A103954,VSP - A1 Williston,10,93,Deer,Day,Area Of Mile Marker 93,None,None,,VTVSP0100,Not at a Junction,None,I-89 South,Dry,890,"44.52401953950896,-73.19339838756959"
4248130,,"August 18, 2019, 11:41 AM",Burlington,College St,COLLEGE ST.,Injury,Opp Direction Sideswipe,Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19BU017942,Burlington PD,2,0,None/Other,Day,Battery St,None,None,,VT0040100,Four-way Intersection,None,College St,Dry,U5068,"44.47687425724611,-73.2187664067715"
4245643,,"August 18, 2019, 12:40 PM",Essex,2 Susie Wilson Road,Unknown,Property Damage Only,Rear-to-rear,Clear,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",19ES04458,Essex PD.,9,999.99,None/Other,Day,,None,None,,VT0040200,Parking Lot,None,2 Susie Wilson Road,,0,"44.50580717720823,-73.1358504879385"
4247257,,"August 19, 2019, 8:23 AM",South Burlington,Van Sicklen Rd,TOWN ROAD 0023,Property Damage Only,Rear End,Rain,"City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)",19SB008779,So. Burlington PD.,6,999.99,None/Other,Day,Hinesburg Rd,None,None,,VT0040300,Not at a Junction,"Road Surface Condition(wet, icy, snow, slush, etc)",Van Sicklen Rd,Wet,T0023,"44.427264132076836,-73.15418818566575"
4245512,,"August 19, 2019, 12:42 PM",Burlington,N Union St,N UNION ST.,Property Damage Only,Same Direction Sideswipe,Cloudy,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19BU018007,Burlington PD,2,0.18,None/Other,Day,Loomis St,None,Heavy Truck,,VT0040100,T - Intersection,"Shoulders (none, low, soft, high)",N Union St,Dry,U5034,"44.4830918986331,-73.20947288292253"
4248787,,"August 19, 2019, 1:12 PM",Burlington,235 Pine St,PINE ST.,Property Damage Only,Rear End,Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19BU018011,Burlington PD,2,1.19,None/Other,Day,Maple St,None,None,,VT0040100,Not at a Junction,None,235 Pine St,Dry,U5040,"44.47255053755256,-73.21535091395778"
4249689,,"August 19, 2019, 2:34 PM",Burlington,Cherry St,CHERRY ST,Property Damage Only,Opp Direction Sideswipe,Clear,Street or Town Highways in FA Urban Area,19BU018017,Burlington PD,5,999.99,None/Other,Day,Church St,None,None,,VT0040100,Not at a Junction,None,Cherry St,Dry,0,"44.47931340526287,-73.21270142591041"
4247888,,"August 19, 2019, 3:07 PM",South Burlington,Fayette Rd,FAYETTE RD,Property Damage Only,Rear End,Clear,Street or Town Highways in FA Urban Area,19SB008798,So. Burlington PD.,5,999.99,None/Other,Day,Shelburne Rd,None,None,,VT0040300,Four-way Intersection,None,Fayette Rd,Dry,0,"44.43724049689743,-73.21061003255566"
4247992,,"August 19, 2019, 4:04 PM",Williston,ESSEX ROAD,VT-2A,Property Damage Only,Rear End,Clear,"State Highway numbered route, State owned",19WT03659,Williston PD.,10,4.93,None/Other,Day,SHARON DRIVE,None,None,,VT0041000,Not at a Junction,None,ESSEX ROAD,Dry,21,"44.46700376116734,-73.1129672837472"
4245670,,"August 20, 2019, 6:47 AM",Colchester,Interstate 89S,I-89,Property Damage Only,Rear End,Clear,Ramp or Spur,19A103985,VSP - A1 Williston,7,0.14,None/Other,Day,Exit 17 SB On-ramp,None,Heavy Truck,,VTVSP0100,Y - Intersection,None,Interstate 89S,Dry,890,"44.58946301236802,-73.17165276284217"
4245892,,"August 20, 2019, 6:59 AM",South Burlington,Williston Road at Sheraton Hotel,US-2,Property Damage Only,Rear End,Clear,"State Highway numbered route, Class 1 TH",19SB008820,So. Burlington PD.,11,0.1,None/Other,Day,Williston Rd,None,None,,VT0040300,Four-way Intersection,None,Williston Road at Sheraton Hotel,Dry,20,"44.47164066273061,-73.18827256944907"
4245666,,"August 20, 2019, 12:38 PM",Westford,,VT-15,Property Damage Only,Same Direction Sideswipe,Clear,"State Highway numbered route, State owned",19A103993,VSP - A1 Williston,10,0.18,None/Other,Day,Cowie Road,Alcohol,None,,VTVSP0100,Y - Intersection,None,,Dry,150,"44.59717473245804,-72.93728078961122"
4245741,,"August 20, 2019, 4:10 PM",Burlington,Interstate 89,I-89,Injury,Same Direction Sideswipe,Clear,"State Highway numbered route, State owned",19A103997,VSP - A1 Williston,10,90,None/Other,Day,Winooski River Bridge Northbound,None,Heavy Truck,,VTVSP0100,Not at a Junction,None,Interstate 89,Dry,890,"44.486438198062004,-73.17358549961509"
4249720,,"August 20, 2019, 4:22 PM",Burlington,S Winooski Ave,S WINOOSKI AVE,Injury,"No Turns, Thru moves only, Broadside ^<",Clear,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",19BU018112,Burlington PD,9,999.99,None/Other,Day,Market Parking Garage,None,Bicycle,,VT0040100,Other - Explain in Narrative,None,S Winooski Ave,Dry,0,"44.47992418373204,-73.21118812192078"
4248289,,"August 20, 2019, 5:03 PM",Williston,St George Rd,VT-2A,Property Damage Only,Rear End,Clear,"State Highway numbered route, State owned",19WT03539,Williston PD.,10,3,None/Other,Day,I-89 North,None,None,,VT0041000,Four-way Intersection,None,St George Rd,Dry,21,"44.439879201608036,-73.11477853350053"
4245663,,"August 21, 2019, 5:57 AM",Underhill,Pleasant Valley Road,PLEASANT VALLEY RD,Injury,Head On,Clear,Federal Aid Secondary System (Class 2 TH),19A104006,VSP - A1 Williston,3,7.71,None/Other,Night,Deane Road,None,None,,VTVSP0100,Not at a Junction,None,Pleasant Valley Road,Dry,S0233,"44.57566495620885,-72.86355533514666"
4246136,,"August 21, 2019, 12:12 PM",South Burlington,Williston Rd,US-2,Property Damage Only,Rear End,Rain,"State Highway numbered route, Class 1 TH",19SB008881,So. Burlington PD.,11,1.16,None/Other,Day,Staples Plaza At 861,None,None,,VT0040300,Not at a Junction,None,Williston Rd,Wet,20,"44.46632348839156,-73.16830745671703"
4248028,,"August 21, 2019, 12:57 PM",South Burlington,1515 Dorset St,DORSET ST.,Property Damage Only,Rear End,Rain,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19SB008883,So. Burlington PD.,2,0.98,None/Other,Day,Cider Mill Dr,None,None,,VT0040300,T - Intersection,None,1515 Dorset St,Wet,U5208,"44.42443343879703,-73.17390067799732"
4247482,,"August 21, 2019, 2:53 PM",South Burlington,I-189 West,I-189,Injury,Other - Explain in Narrative,Rain,"State Highway numbered route, State owned",19A104016,VSP - A1 Williston,10,0.3,None/Other,Day,.25 Miles East Of US RT 7,None,Heavy Truck,,VTVSP0100,,Other - Explain in Narrative,I-189 West,Wet,1890,"44.44846953245537,-73.20413446136871"
4245800,,"August 21, 2019, 2:57 PM",Burlington,North Ave,NORTH AVE.,Injury,Head On,Rain,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19BU018208,Burlington PD,2,2.7,None/Other,Day,Woodbury Rd,None,None,,VT0040100,Four-way Intersection,None,North Ave,Wet,U5026,"44.51172604369095,-73.25134010972245"
4245660,,"August 21, 2019, 4:38 PM",South Burlington,Interstate 89,I-89,Injury,Single Vehicle Crash,Rain,"State Highway numbered route, State owned",19A104019,VSP - A1 Williston,10,86.5,None/Other,Day,MM86/50 NB,None,None,,VTVSP0100,Not at a Junction,"Road Surface Condition(wet, icy, snow, slush, etc)",Interstate 89,Water (standing / moving),890,"44.449428147015645,-73.16408322192774"
4247047,,"August 21, 2019, 5:46 PM",South Burlington,Kennedy Dr,FAP 121-1 KENNEDY DRIVE,Property Damage Only,Rear End,Cloudy,"State Highway numbered route, State owned",19SB008896,So. Burlington PD.,10,1.32,None/Other,Day,Kimball Ave,None,None,,VT0040300,Four-way Intersection,,Kennedy Dr,Dry,9998,"44.4602527930443,-73.15584589475796"
4245656,,"August 22, 2019, 8:48 AM",Milton,I89 NB MM102,I-89,Property Damage Only,Rear End,Cloudy,"State Highway numbered route, State owned",19A104034,VSP - A1 Williston,10,102,None/Other,Day,,None,None,,VTVSP0100,Not at a Junction,None,I89 NB MM102,Dry,890,"44.642234735683566,-73.1393601964033"
4245651,,"August 22, 2019, 12:15 PM",South Burlington,Dorset Street at Blue Mall,DORSET ST.,Property Damage Only,Same Direction Sideswipe,Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19SB008939,So. Burlington PD.,2,3.95,None/Other,Day,Dorset St,None,None,,VT0040300,Four-way Intersection,None,Dorset Street at Blue Mall,Dry,U5208,"44.46690510702174,-73.18130288842286"
4247963,,"August 22, 2019, 12:15 PM",Burlington,Main St,US-2,Property Damage Only,Rear End,Clear,"State Highway numbered route, Class 1 TH",19BU018286,Burlington PD,11,0.31,None/Other,Day,University Place Ext,None,None,,VT0040100,Not at a Junction,None,Main St,Dry,20,"44.4763967212889,-73.1991437472453"
4247689,,"August 22, 2019, 2:01 PM",Burlington,N Prospect St,N. PROSPECT ST.,Injury,Single Vehicle Crash,Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19BU018298,Burlington PD,2,0,None/Other,Day,Colchester Ave.,None,Pedestrian,,VT0040100,Four-way Intersection,None,N Prospect St,Dry,U5054,"44.480765581676195,-73.20072874886351"
4249298,,"August 22, 2019, 3:26 PM",Burlington,Pearl St,PEARL ST.,Injury,"Right Turn and Thru, Broadside ^<--",Cloudy,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19BU018303,Burlington PD,2,0.59,None/Other,Day,Greene St,None,Bicycle,,VT0040100,T - Intersection,None,Pearl St,Dry,U5038,"44.480605708568376,-73.2074336298437"
4247278,,"August 22, 2019, 6:05 PM",Essex,Maple Street at Mansfield Avenue,VT-117,Injury,Rear End,Clear,"State Highway numbered route, State owned",19ES04527,Essex PD.,10,0.4,None/Other,Day,Mansfield Ave,None,None,,VT0040200,Not at a Junction,None,Maple Street at Mansfield Avenue,Dry,1170,"44.48789582666267,-73.10384555036039"
4247747,,"August 23, 2019, 1:40 AM",South Burlington,Interstate I189,I-189,Property Damage Only,Single Vehicle Crash,Clear,Ramp or Spur,19A104054,VSP - A1 Williston,7,0.12,None/Other,Night,US Route 7,None,None,,VTVSP0100,On Ramp,None,Interstate I189,Dry,1890,"44.44715792229843,-73.20757985767493"
4245642,,"August 23, 2019, 5:56 AM",South Burlington,Kennedy Drive,FAP 121-1 KENNEDY DRIVE,Property Damage Only,Same Direction Sideswipe,Clear,"State Highway numbered route, State owned",19SB008966,So. Burlington PD.,10,0.68,None/Other,Night,Hinesburg Road,None,None,,VT0040300,Not at a Junction,None,Kennedy Drive,Dry,9998,"44.45439281358156,-73.16509792033327"
4245820,,"August 23, 2019, 7:04 AM",Richmond,,I-89,Fatal,Head On,Clear,"State Highway numbered route, State owned",19A104055,VSP - A2 St. Albans,10,74,None/Other,Day,Mile Marker 74,Alcohol,None,,VTVSP0700,Not at a Junction,None,,Dry,890,"44.38785419720165,-72.94214478750445"
4248971,,"August 23, 2019, 8:55 AM",Richmond,I-89 South,I-89,Injury,Rear End,Cloudy,"State Highway numbered route, State owned",19A104057,VSP - A1 Williston,10,76,None/Other,Day,Area Of Mile Marker 76,None,Heavy Truck,,VTVSP0100,Not at a Junction,None,I-89 South,Dry,890,"44.399224378203684,-72.98047213587948"
4245636,,"August 23, 2019, 10:00 AM",South Burlington,550 Dorset St,Unknown,Property Damage Only,Rear End,Clear,"Other Public Roadway (Rest Areas, Shopping Center - anything open to public)",19SB008973,So. Burlington PD.,9,999.99,None/Other,Day,,None,None,,VT0040300,Not at a Junction,None,550 Dorset St,Dry,0,"44.45391486192347,-73.17833303760324"
4245637,,"August 23, 2019, 11:24 AM",South Burlington,811 Williston Rd,US-2,Property Damage Only,Rear End,Clear,"State Highway numbered route, Class 1 TH",19SB008976,So. Burlington PD.,11,0.06,None/Other,Day,East Ave,None,None,,VT0040300,Four-way Intersection,None,811 Williston Rd,Dry,20,"44.47195890597512,-73.18899424752358"
4245885,,"August 23, 2019, 12:20 PM",South Burlington,Dorset Street at Peoples United Bank,DORSET ST.,Property Damage Only,Rear End,Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19SB008980,So. Burlington PD.,2,3.96,None/Other,Day,Market St,None,None,,VT0040300,Not at a Junction,None,Dorset Street at Peoples United Bank,Dry,U5208,"44.467048171976465,-73.18132694204571"
4246858,,"August 23, 2019, 12:48 PM",South Burlington,1117 Williston Rd,US-2,Property Damage Only,Rear End,Cloudy,"State Highway numbered route, Class 1 TH",19SB008983,So. Burlington PD.,11,0.6,None/Other,Day,,None,None,,VT0040300,Four-way Intersection,None,1117 Williston Rd,Dry,20,"44.46861742348406,-73.17901747344257"
4249045,,"August 23, 2019, 3:44 PM",Winooski City,Main St,US-7,Property Damage Only,Head On,Clear,"State Highway numbered route, Class 1 TH",19WS005961,Winooski PD.,11,0.11,None/Other,Day,Winooski Falls Way,None,None,,VT0040400,Traffic circle / roundabout,None,Main St,Dry,70,"44.49042800002643,-73.18577236518733"
4247641,,"August 23, 2019, 10:53 PM",Colchester,COLLEGE PARKWAY,VT-15,Injury,"Left Turn and Thru, Angle Broadside -->v--",Clear,"State Highway numbered route, State owned",19CC008201,Colchester PD.,10,0.38,None/Other,Night,LIME KILN ROAD,None,None,,VT0040500,T - Intersection,None,COLLEGE PARKWAY,Dry,150,"44.49278079935701,-73.16345981956114"
4247820,,"August 24, 2019, 2:37 AM",Burlington,198 Main St,MAIN ST.,Injury,"Left Turn and Thru, Angle Broadside -->v--",Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19BU018471,Burlington PD,2,0.39,None/Other,Night,S Winooski Ave,None,None,,VT0040100,Not at a Junction,None,198 Main St,Dry,U5022,"44.47598185721238,-73.21150756973549"
4248791,,"August 24, 2019, 1:25 PM",Colchester,College Parkway,VT-15,Injury,Rear End,Clear,"State Highway numbered route, State owned",19CC008206,Colchester PD.,10,0.3,None/Other,Day,Lime Kiln Road,None,None,,VT0040500,Not at a Junction,None,College Parkway,Dry,150,"44.49286520913667,-73.16507498224107"
4248374,,"August 24, 2019, 8:47 PM",Burlington,Leddy Park Rd,LEDDY PARK RD,Property Damage Only,Head On,Clear,Street or Town Highways in FA Urban Area,19BU018522,Burlington PD,5,999.99,None/Other,Night,North Ave,None,None,,VT0040100,Not at a Junction,None,Leddy Park Rd,Dry,0,"44.50620765508683,-73.24387483724581"
4246926,,"August 24, 2019, 11:34 PM",Williston,Oak Hill Rd,OAK HILL ROAD,Injury,Head On,Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19WT03637,Williston PD.,2,1.52,None/Other,Night,Fieldstone Dr,None,None,,VT0041000,Not at a Junction,None,Oak Hill Rd,Dry,U5510,"44.39359018900239,-73.0940611373749"
4247998,,"August 25, 2019, 2:37 PM",Burlington,Battery St,BATTERY ST.,Injury,"No Turns, Thru moves only, Broadside ^<",Clear,Federal Aid Urban System (Class 2 TH's and 3 TH's only),19BU018582,Burlington PD,2,0.47,None/Other,Day,Cherry St,None,Bicycle,,VT0040100,Driveway,None,Battery St,Dry,U5008,"44.47912460513932,-73.21893280613341"
4245801,,"August 25, 2019, 7:21 PM",Jericho,ROUTE 117,VT-117,Injury,Opp Direction Sideswipe,Cloudy,"State Highway numbered route, State owned",19A104087,VSP - A1 Williston,10,0.3,None/Other,Night,SKUNK HOLLOW ROAD,None,None,,VTVSP0100,T - Intersection,None,ROUTE 117,Dry,1170,"44.467855870297676,-73.02674938667018"
